CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.046875 1589367429.2578
MEM 13.300781 1589367429.3762
MEM 22.921875 1589367429.4845
MEM 35.558594 1589367429.5917
MEM 45.902344 1589367429.7002
MEM 45.902344 1589367429.8106
MEM 45.902344 1589367429.9216
MEM 45.902344 1589367430.0338
MEM 45.929688 1589367430.1431
MEM 45.976562 1589367430.2516
MEM 58.105469 1589367430.3621
MEM 58.726562 1589367430.4735
MEM 89.429688 1589367430.5822
MEM 100.371094 1589367430.6926
MEM 111.210938 1589367430.8022
MEM 134.371094 1589367430.9146
MEM 259.062500 1589367431.0296
MEM 263.894531 1589367431.1463
MEM 267.183594 1589367431.2569
MEM 268.363281 1589367431.3686
MEM 268.976562 1589367431.4822
MEM 270.332031 1589367431.5994
MEM 271.562500 1589367431.7128
MEM 272.617188 1589367431.8292
MEM 273.308594 1589367431.9440
MEM 273.511719 1589367432.0596
MEM 274.675781 1589367432.1722
MEM 276.121094 1589367432.2891
MEM 278.300781 1589367432.4025
MEM 278.667969 1589367432.5190
MEM 279.269531 1589367432.6342
MEM 279.546875 1589367432.7516
MEM 279.753906 1589367432.8660
MEM 280.902344 1589367432.9802
MEM 283.011719 1589367433.0941
MEM 284.066406 1589367433.2066
MEM 284.460938 1589367433.3199
MEM 286.589844 1589367433.4341
MEM 287.453125 1589367433.5497
MEM 287.914062 1589367433.6637
MEM 288.703125 1589367433.7801
MEM 289.101562 1589367433.8925
MEM 289.214844 1589367434.0045
MEM 290.031250 1589367434.1173
MEM 290.601562 1589367434.2309
MEM 290.765625 1589367434.3469
MEM 290.992188 1589367434.4621
MEM 291.308594 1589367434.5743
MEM 291.988281 1589367434.6894
MEM 293.050781 1589367434.8016
MEM 293.562500 1589367434.9185
MEM 293.843750 1589367435.0314
MEM 295.484375 1589367435.1443
MEM 297.035156 1589367435.2609
MEM 297.070312 1589367435.3758
MEM 297.835938 1589367435.4891
MEM 297.734375 1589367435.6035
MEM 298.761719 1589367435.7168
MEM 298.828125 1589367435.8316
MEM 298.718750 1589367435.9437
MEM 298.632812 1589367436.0568
MEM 299.417969 1589367436.1692
MEM 299.417969 1589367436.2826
MEM 299.472656 1589367436.3961
MEM 299.718750 1589367436.5095
MEM 299.691406 1589367436.6212
MEM 299.703125 1589367436.7356
MEM 299.757812 1589367436.8483
MEM 300.093750 1589367436.9611
MEM 300.253906 1589367437.0769
MEM 300.253906 1589367437.1876
MEM 300.300781 1589367437.3017
MEM 300.367188 1589367437.4142
MEM 300.707031 1589367437.5248
MEM 300.738281 1589367437.6396
MEM 122.382812 1589367437.7487
MEM 113.601562 1589367437.8615
