CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.085938 1589367329.7587
MEM 15.753906 1589367329.8692
MEM 27.484375 1589367329.9791
MEM 43.933594 1589367330.0871
MEM 45.667969 1589367330.1961
MEM 45.667969 1589367330.3048
MEM 45.667969 1589367330.4144
MEM 45.667969 1589367330.5251
MEM 45.695312 1589367330.6362
MEM 51.531250 1589367330.7456
MEM 60.683594 1589367330.8551
MEM 91.453125 1589367330.9651
MEM 103.523438 1589367331.0759
MEM 117.265625 1589367331.1885
MEM 185.558594 1589367331.3012
MEM 188.781250 1589367331.4155
MEM 189.855469 1589367331.5294
MEM 191.898438 1589367331.6412
MEM 192.968750 1589367331.7519
MEM 194.207031 1589367331.8639
MEM 194.906250 1589367331.9751
MEM 195.136719 1589367332.0851
MEM 195.484375 1589367332.1988
MEM 195.769531 1589367332.3110
MEM 196.074219 1589367332.4254
MEM 197.605469 1589367332.5364
MEM 197.777344 1589367332.6507
MEM 198.011719 1589367332.7608
MEM 198.250000 1589367332.8761
MEM 199.031250 1589367332.9920
MEM 199.070312 1589367333.1038
MEM 199.140625 1589367333.2172
MEM 199.261719 1589367333.3299
MEM 199.484375 1589367333.4434
MEM 199.980469 1589367333.5547
MEM 200.019531 1589367333.6678
MEM 200.019531 1589367333.7820
MEM 200.542969 1589367333.8936
MEM 200.558594 1589367334.0051
MEM 200.742188 1589367334.1200
MEM 200.957031 1589367334.2357
MEM 201.199219 1589367334.3498
MEM 201.304688 1589367334.4620
MEM 201.382812 1589367334.5751
MEM 201.753906 1589367334.6875
MEM 202.210938 1589367334.8038
MEM 202.386719 1589367334.9200
MEM 202.410156 1589367335.0340
MEM 203.160156 1589367335.1458
MEM 203.820312 1589367335.2569
MEM 203.867188 1589367335.3693
MEM 203.500000 1589367335.4837
MEM 203.500000 1589367335.5939
MEM 203.726562 1589367335.7052
MEM 203.976562 1589367335.8201
MEM 203.976562 1589367335.9336
MEM 203.996094 1589367336.0445
MEM 203.941406 1589367336.1547
MEM 204.007812 1589367336.2690
MEM 204.261719 1589367336.3820
MEM 204.691406 1589367336.4940
MEM 204.691406 1589367336.6069
MEM 204.437500 1589367336.7189
MEM 204.550781 1589367336.8336
MEM 204.742188 1589367336.9441
MEM 204.847656 1589367337.0564
MEM 204.742188 1589367337.1676
MEM 204.871094 1589367337.2782
MEM 205.195312 1589367337.3918
MEM 205.398438 1589367337.5045
MEM 205.546875 1589367337.6191
MEM 205.660156 1589367337.7349
MEM 205.664062 1589367337.8501
MEM 205.664062 1589367337.9608
MEM 205.824219 1589367338.0727
MEM 206.757812 1589367338.1837
MEM 206.625000 1589367338.2954
MEM 206.644531 1589367338.4063
MEM 206.867188 1589367338.5207
MEM 206.972656 1589367338.6314
MEM 206.628906 1589367338.7453
MEM 206.753906 1589367338.8568
MEM 206.777344 1589367338.9713
MEM 206.804688 1589367339.0836
MEM 207.468750 1589367339.1969
MEM 207.656250 1589367339.3128
MEM 207.742188 1589367339.4243
MEM 207.750000 1589367339.5376
MEM 207.523438 1589367339.6500
MEM 207.523438 1589367339.7634
MEM 207.523438 1589367339.8761
MEM 207.566406 1589367339.9932
MEM 207.679688 1589367340.1038
MEM 207.679688 1589367340.2192
MEM 209.136719 1589367340.3331
MEM 209.449219 1589367340.4474
MEM 209.519531 1589367340.5633
MEM 209.605469 1589367340.6777
MEM 209.605469 1589367340.7926
MEM 209.621094 1589367340.9046
MEM 210.093750 1589367341.0157
MEM 210.207031 1589367341.1288
MEM 210.214844 1589367341.2438
MEM 210.214844 1589367341.3567
MEM 210.292969 1589367341.4689
MEM 210.425781 1589367341.5832
MEM 210.425781 1589367341.6976
MEM 210.554688 1589367341.8143
MEM 210.625000 1589367341.9287
MEM 210.871094 1589367342.0424
MEM 210.792969 1589367342.1557
MEM 210.910156 1589367342.2685
MEM 211.222656 1589367342.3802
MEM 212.007812 1589367342.4919
MEM 211.917969 1589367342.6044
MEM 212.070312 1589367342.7168
MEM 212.187500 1589367342.8283
MEM 212.281250 1589367342.9406
MEM 212.125000 1589367343.0529
MEM 212.207031 1589367343.1663
MEM 211.867188 1589367343.2818
MEM 211.867188 1589367343.3927
MEM 212.640625 1589367343.5096
MEM 212.644531 1589367343.6218
MEM 212.945312 1589367343.7363
MEM 212.945312 1589367343.8493
MEM 212.945312 1589367343.9623
MEM 212.945312 1589367344.0755
MEM 213.015625 1589367344.1865
MEM 213.027344 1589367344.2993
MEM 213.027344 1589367344.4160
MEM 213.023438 1589367344.5317
MEM 213.425781 1589367344.6436
MEM 212.781250 1589367344.7598
MEM 212.820312 1589367344.8766
MEM 212.820312 1589367344.9922
MEM 212.820312 1589367345.1063
MEM 212.847656 1589367345.2221
MEM 212.691406 1589367345.3350
MEM 212.691406 1589367345.4469
MEM 212.960938 1589367345.5587
MEM 213.101562 1589367345.6724
MEM 213.121094 1589367345.7853
MEM 213.195312 1589367345.8968
MEM 213.195312 1589367346.0073
MEM 213.195312 1589367346.1200
MEM 213.250000 1589367346.2332
MEM 213.292969 1589367346.3438
MEM 213.292969 1589367346.4560
MEM 213.292969 1589367346.5712
MEM 213.292969 1589367346.6825
MEM 213.398438 1589367346.7940
MEM 213.398438 1589367346.9062
MEM 213.398438 1589367347.0210
MEM 213.398438 1589367347.1340
MEM 213.398438 1589367347.2465
MEM 213.453125 1589367347.3611
MEM 213.453125 1589367347.4751
MEM 213.453125 1589367347.5880
MEM 213.453125 1589367347.6995
MEM 213.453125 1589367347.8147
MEM 213.460938 1589367347.9256
