CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.039062 1589366282.5811
MEM 14.753906 1589366282.6899
MEM 25.238281 1589366282.7969
MEM 37.476562 1589366282.9056
MEM 45.742188 1589366283.0150
MEM 45.742188 1589366283.1251
MEM 45.742188 1589366283.2340
MEM 45.742188 1589366283.3418
MEM 45.769531 1589366283.4525
MEM 49.460938 1589366283.5605
MEM 54.355469 1589366283.6735
MEM 58.382812 1589366283.7802
MEM 84.546875 1589366283.8906
MEM 91.519531 1589366283.9975
MEM 95.000000 1589366284.1074
MEM 105.835938 1589366284.2195
MEM 117.082031 1589366284.3299
MEM 160.023438 1589366284.4379
MEM 173.285156 1589366284.5488
MEM 173.785156 1589366284.6614
MEM 173.890625 1589366284.7718
MEM 174.378906 1589366284.8807
MEM 175.429688 1589366284.9924
MEM 175.765625 1589366285.0999
MEM 176.644531 1589366285.2133
MEM 178.742188 1589366285.3269
MEM 180.437500 1589366285.4377
MEM 181.265625 1589366285.5485
MEM 181.503906 1589366285.6594
MEM 182.210938 1589366285.7690
MEM 182.386719 1589366285.8809
MEM 182.468750 1589366285.9953
MEM 182.515625 1589366286.1092
MEM 182.765625 1589366286.2225
MEM 182.804688 1589366286.3342
MEM 183.000000 1589366286.4443
MEM 183.011719 1589366286.5550
MEM 183.226562 1589366286.6670
MEM 183.253906 1589366286.7805
MEM 183.941406 1589366286.8927
MEM 184.058594 1589366287.0031
MEM 184.058594 1589366287.1146
MEM 184.250000 1589366287.2288
MEM 184.250000 1589366287.3434
MEM 184.250000 1589366287.4586
MEM 184.445312 1589366287.5738
MEM 184.503906 1589366287.6866
MEM 184.503906 1589366287.7968
MEM 184.503906 1589366287.9106
MEM 184.667969 1589366288.0208
MEM 184.675781 1589366288.1322
MEM 184.675781 1589366288.2464
MEM 184.710938 1589366288.3571
MEM 184.710938 1589366288.4645
MEM 184.773438 1589366288.5758
MEM 184.890625 1589366288.6868
MEM 185.019531 1589366288.8018
MEM 185.046875 1589366288.9132
MEM 185.062500 1589366289.0236
MEM 185.082031 1589366289.1381
MEM 185.156250 1589366289.2501
MEM 185.230469 1589366289.3646
MEM 185.363281 1589366289.4754
MEM 185.429688 1589366289.5859
MEM 185.394531 1589366289.6970
MEM 185.738281 1589366289.8118
MEM 185.804688 1589366289.9246
MEM 186.417969 1589366290.0382
MEM 186.421875 1589366290.1502
MEM 186.753906 1589366290.2653
MEM 187.632812 1589366290.3765
MEM 187.308594 1589366290.4917
MEM 188.164062 1589366290.6050
MEM 188.308594 1589366290.7151
MEM 187.968750 1589366290.8292
MEM 188.011719 1589366290.9439
MEM 188.011719 1589366291.0582
MEM 188.027344 1589366291.1687
MEM 189.097656 1589366291.2834
MEM 189.183594 1589366291.3944
MEM 189.183594 1589366291.5044
MEM 190.042969 1589366291.6140
MEM 190.062500 1589366291.7248
MEM 190.347656 1589366291.8350
MEM 190.488281 1589366291.9475
MEM 190.488281 1589366292.0601
MEM 189.800781 1589366292.1755
MEM 189.800781 1589366292.2874
MEM 189.808594 1589366292.4019
MEM 189.808594 1589366292.5137
MEM 189.820312 1589366292.6250
MEM 190.226562 1589366292.7351
MEM 190.332031 1589366292.8455
MEM 190.332031 1589366292.9565
MEM 190.546875 1589366293.0664
MEM 190.621094 1589366293.1804
MEM 190.621094 1589366293.2950
MEM 190.621094 1589366293.4062
MEM 190.621094 1589366293.5179
MEM 190.648438 1589366293.6295
MEM 190.648438 1589366293.7408
MEM 190.648438 1589366293.8549
MEM 190.859375 1589366293.9657
MEM 190.859375 1589366294.0760
MEM 190.859375 1589366294.1853
MEM 190.933594 1589366294.2998
MEM 191.136719 1589366294.4104
MEM 191.144531 1589366294.5220
MEM 191.144531 1589366294.6321
MEM 191.222656 1589366294.7444
MEM 191.222656 1589366294.8562
MEM 191.226562 1589366294.9668
MEM 191.226562 1589366295.0784
MEM 191.332031 1589366295.1900
MEM 191.332031 1589366295.3003
MEM 191.332031 1589366295.4155
MEM 191.332031 1589366295.5282
MEM 191.332031 1589366295.6387
MEM 191.332031 1589366295.7503
MEM 191.332031 1589366295.8625
MEM 191.332031 1589366295.9768
MEM 191.468750 1589366296.0873
MEM 191.468750 1589366296.1995
MEM 191.468750 1589366296.3136
MEM 191.468750 1589366296.4262
MEM 191.468750 1589366296.5371
MEM 191.468750 1589366296.6497
MEM 191.468750 1589366296.7644
MEM 191.468750 1589366296.8778
MEM 191.468750 1589366296.9902
MEM 191.492188 1589366297.1042
