CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.148438 1589367272.0041
MEM 15.183594 1589367272.1150
MEM 24.828125 1589367272.2239
MEM 35.687500 1589367272.3328
MEM 45.906250 1589367272.4432
MEM 45.906250 1589367272.5528
MEM 45.906250 1589367272.6629
MEM 45.906250 1589367272.7733
MEM 45.933594 1589367272.8839
MEM 46.695312 1589367272.9943
MEM 58.441406 1589367273.1030
MEM 85.199219 1589367273.2143
MEM 98.199219 1589367273.3246
MEM 110.804688 1589367273.4368
MEM 128.425781 1589367273.5487
MEM 273.433594 1589367273.6621
MEM 278.472656 1589367273.7947
MEM 281.925781 1589367273.9104
MEM 283.007812 1589367274.0268
MEM 283.894531 1589367274.1388
MEM 285.199219 1589367274.2512
MEM 285.828125 1589367274.3653
MEM 286.046875 1589367274.4806
MEM 286.218750 1589367274.5931
MEM 286.468750 1589367274.7050
MEM 286.640625 1589367274.8216
MEM 286.718750 1589367274.9354
MEM 287.296875 1589367275.0516
MEM 287.554688 1589367275.1677
MEM 287.582031 1589367275.2819
MEM 287.636719 1589367275.3938
MEM 287.875000 1589367275.5054
MEM 288.101562 1589367275.6218
MEM 289.246094 1589367275.7366
MEM 289.648438 1589367275.8523
MEM 289.871094 1589367275.9675
MEM 290.550781 1589367276.0819
MEM 290.898438 1589367276.1937
MEM 292.019531 1589367276.3103
MEM 293.988281 1589367276.4271
MEM 294.167969 1589367276.5397
MEM 294.949219 1589367276.6526
MEM 295.785156 1589367276.7655
MEM 299.785156 1589367276.8810
MEM 301.468750 1589367276.9942
MEM 122.449219 1589367277.1033
MEM 107.613281 1589367277.2165
