CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.011719 1589365064.0346
MEM 15.644531 1589365064.1449
MEM 27.902344 1589365064.2575
MEM 44.132812 1589365064.3690
MEM 45.824219 1589365064.4796
MEM 45.824219 1589365064.5899
MEM 45.824219 1589365064.6997
MEM 45.824219 1589365064.8091
MEM 45.851562 1589365064.9190
MEM 53.750000 1589365065.0287
MEM 58.257812 1589365065.1408
MEM 84.796875 1589365065.2495
MEM 92.246094 1589365065.3603
MEM 98.011719 1589365065.4703
MEM 105.171875 1589365065.5783
MEM 111.042969 1589365065.6872
MEM 121.144531 1589365065.7950
MEM 197.246094 1589365065.9061
MEM 209.292969 1589365066.0195
MEM 210.964844 1589365066.1352
MEM 212.304688 1589365066.2447
MEM 212.824219 1589365066.3577
MEM 214.734375 1589365066.4717
MEM 215.144531 1589365066.5844
MEM 216.652344 1589365066.6974
MEM 216.730469 1589365066.8131
MEM 217.550781 1589365066.9261
MEM 218.175781 1589365067.0381
MEM 219.531250 1589365067.1514
MEM 220.992188 1589365067.2670
MEM 221.210938 1589365067.3800
MEM 221.804688 1589365067.4980
MEM 222.097656 1589365067.6121
MEM 223.195312 1589365067.7241
MEM 223.390625 1589365067.8376
MEM 223.750000 1589365067.9511
MEM 223.929688 1589365068.0648
MEM 224.542969 1589365068.1795
MEM 224.531250 1589365068.2916
MEM 224.632812 1589365068.4076
MEM 224.703125 1589365068.5203
MEM 224.738281 1589365068.6343
MEM 224.992188 1589365068.7466
MEM 225.023438 1589365068.8590
MEM 225.062500 1589365068.9717
MEM 225.074219 1589365069.0843
MEM 225.253906 1589365069.1987
MEM 225.281250 1589365069.3107
MEM 225.425781 1589365069.4229
MEM 225.425781 1589365069.5369
MEM 225.425781 1589365069.6504
MEM 225.453125 1589365069.7622
MEM 225.894531 1589365069.8801
MEM 226.359375 1589365069.9958
MEM 226.457031 1589365070.1083
MEM 226.625000 1589365070.2201
MEM 226.656250 1589365070.3338
MEM 226.660156 1589365070.4488
MEM 226.660156 1589365070.5601
MEM 227.425781 1589365070.6739
MEM 227.316406 1589365070.7883
MEM 227.429688 1589365070.9012
MEM 228.375000 1589365071.0137
MEM 228.976562 1589365071.1286
MEM 228.964844 1589365071.2450
MEM 230.121094 1589365071.3593
MEM 230.121094 1589365071.4720
MEM 230.152344 1589365071.5885
MEM 230.753906 1589365071.7010
MEM 230.234375 1589365071.8170
MEM 230.980469 1589365071.9289
MEM 231.117188 1589365072.0416
MEM 231.156250 1589365072.1543
MEM 231.367188 1589365072.2686
MEM 231.464844 1589365072.3817
MEM 231.464844 1589365072.4959
MEM 232.152344 1589365072.6103
MEM 232.562500 1589365072.7229
MEM 232.625000 1589365072.8398
MEM 232.832031 1589365072.9562
MEM 232.835938 1589365073.0712
MEM 232.972656 1589365073.1850
MEM 232.933594 1589365073.3004
MEM 232.945312 1589365073.4125
MEM 232.953125 1589365073.5278
MEM 232.953125 1589365073.6412
MEM 232.992188 1589365073.7547
MEM 232.992188 1589365073.8682
MEM 232.996094 1589365073.9815
MEM 233.089844 1589365074.0944
MEM 233.578125 1589365074.2066
MEM 233.578125 1589365074.3196
MEM 233.742188 1589365074.4345
MEM 234.000000 1589365074.5525
MEM 235.226562 1589365074.6677
MEM 235.355469 1589365074.7810
MEM 235.480469 1589365074.8953
MEM 235.683594 1589365075.0082
MEM 235.683594 1589365075.1244
MEM 235.761719 1589365075.2377
MEM 235.898438 1589365075.3513
MEM 235.898438 1589365075.4637
MEM 235.898438 1589365075.5757
MEM 235.902344 1589365075.6877
MEM 236.046875 1589365075.8025
MEM 236.199219 1589365075.9173
MEM 236.597656 1589365076.0303
MEM 236.738281 1589365076.1459
MEM 236.281250 1589365076.2622
MEM 236.875000 1589365076.3792
MEM 236.925781 1589365076.4919
MEM 237.191406 1589365076.6073
MEM 238.015625 1589365076.7232
MEM 237.988281 1589365076.8401
MEM 238.183594 1589365076.9537
MEM 238.777344 1589365077.0677
MEM 238.683594 1589365077.1834
MEM 238.812500 1589365077.2959
MEM 238.292969 1589365077.4082
MEM 238.324219 1589365077.5226
MEM 238.175781 1589365077.6381
MEM 238.425781 1589365077.7537
MEM 238.585938 1589365077.8667
MEM 238.667969 1589365077.9789
MEM 238.667969 1589365078.0916
MEM 238.667969 1589365078.2041
MEM 238.667969 1589365078.3165
MEM 239.109375 1589365078.4291
MEM 239.496094 1589365078.5416
MEM 239.496094 1589365078.6549
MEM 239.246094 1589365078.7692
MEM 239.421875 1589365078.8872
MEM 239.566406 1589365079.0050
MEM 239.714844 1589365079.1167
MEM 239.828125 1589365079.2297
MEM 239.984375 1589365079.3426
MEM 240.113281 1589365079.4600
MEM 240.394531 1589365079.5752
MEM 240.437500 1589365079.6919
MEM 240.437500 1589365079.8067
MEM 240.468750 1589365079.9194
MEM 240.468750 1589365080.0358
MEM 240.656250 1589365080.1473
MEM 240.656250 1589365080.2611
MEM 240.875000 1589365080.3748
MEM 240.894531 1589365080.4899
MEM 240.972656 1589365080.6066
MEM 241.027344 1589365080.7198
MEM 241.027344 1589365080.8332
MEM 241.093750 1589365080.9459
MEM 241.148438 1589365081.0596
MEM 241.148438 1589365081.1742
MEM 241.148438 1589365081.2920
MEM 241.246094 1589365081.4070
MEM 122.218750 1589365081.5185
MEM 105.199219 1589365081.6292
