CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.011719 1589367387.4984
MEM 14.250000 1589367387.6109
MEM 23.851562 1589367387.7204
MEM 35.593750 1589367387.8282
MEM 45.878906 1589367387.9405
MEM 45.878906 1589367388.0493
MEM 45.878906 1589367388.1562
MEM 45.878906 1589367388.2657
MEM 45.906250 1589367388.3761
MEM 45.906250 1589367388.4864
MEM 55.093750 1589367388.5969
MEM 71.515625 1589367388.7086
MEM 93.632812 1589367388.8175
MEM 105.882812 1589367388.9272
MEM 118.015625 1589367389.0349
MEM 222.675781 1589367389.1505
MEM 225.925781 1589367389.2674
MEM 228.164062 1589367389.3821
MEM 230.460938 1589367389.4983
MEM 231.449219 1589367389.6135
MEM 231.929688 1589367389.7286
MEM 232.425781 1589367389.8437
MEM 232.718750 1589367389.9564
MEM 234.164062 1589367390.0694
MEM 234.480469 1589367390.1833
MEM 234.871094 1589367390.2986
MEM 235.203125 1589367390.4142
MEM 235.324219 1589367390.5247
MEM 237.964844 1589367390.6371
MEM 238.636719 1589367390.7544
MEM 239.261719 1589367390.8686
MEM 239.710938 1589367390.9846
MEM 239.890625 1589367391.0998
MEM 240.191406 1589367391.2165
MEM 240.363281 1589367391.3333
MEM 241.351562 1589367391.4501
MEM 241.363281 1589367391.5679
MEM 243.394531 1589367391.6848
MEM 243.914062 1589367391.7972
MEM 244.191406 1589367391.9073
MEM 244.246094 1589367392.0224
MEM 244.292969 1589367392.1358
MEM 244.429688 1589367392.2482
MEM 244.449219 1589367392.3655
MEM 245.253906 1589367392.4814
MEM 245.628906 1589367392.5935
MEM 245.738281 1589367392.7056
MEM 245.867188 1589367392.8225
MEM 245.957031 1589367392.9379
MEM 246.085938 1589367393.0509
MEM 247.281250 1589367393.1659
MEM 247.398438 1589367393.2847
MEM 247.457031 1589367393.3974
MEM 247.535156 1589367393.5100
MEM 247.636719 1589367393.6277
MEM 247.679688 1589367393.7446
MEM 248.226562 1589367393.8567
MEM 248.820312 1589367393.9745
MEM 249.171875 1589367394.0867
MEM 249.230469 1589367394.1999
MEM 249.390625 1589367394.3167
MEM 249.941406 1589367394.4333
MEM 249.828125 1589367394.5467
MEM 249.937500 1589367394.6600
MEM 249.949219 1589367394.7779
MEM 249.980469 1589367394.8932
MEM 250.128906 1589367395.0055
MEM 250.339844 1589367395.1202
MEM 250.351562 1589367395.2372
MEM 250.359375 1589367395.3500
MEM 250.359375 1589367395.4679
MEM 250.562500 1589367395.5821
MEM 250.753906 1589367395.6987
MEM 250.753906 1589367395.8126
MEM 250.773438 1589367395.9274
MEM 250.773438 1589367396.0434
MEM 251.199219 1589367396.1610
MEM 251.988281 1589367396.2742
MEM 252.597656 1589367396.3895
MEM 252.347656 1589367396.5022
MEM 252.808594 1589367396.6192
MEM 252.933594 1589367396.7373
MEM 253.062500 1589367396.8526
MEM 253.242188 1589367396.9684
MEM 253.320312 1589367397.0804
MEM 253.480469 1589367397.1939
MEM 253.992188 1589367397.3071
MEM 253.722656 1589367397.4206
MEM 253.300781 1589367397.5334
MEM 253.820312 1589367397.6475
MEM 253.964844 1589367397.7613
MEM 254.050781 1589367397.8792
MEM 255.195312 1589367397.9908
MEM 256.082031 1589367398.1061
MEM 255.871094 1589367398.2202
MEM 255.882812 1589367398.3326
MEM 255.636719 1589367398.4487
MEM 255.636719 1589367398.5647
MEM 255.644531 1589367398.6783
MEM 122.269531 1589367398.7894
MEM 115.125000 1589367398.9014
