CMDLINE /Library/Frameworks/Python.framework/Versions/3.7/bin/python3.7 a3c.py
MEM 0.148438 1589367157.2614
MEM 14.707031 1589367157.3681
MEM 25.175781 1589367157.4743
MEM 40.160156 1589367157.5824
MEM 45.761719 1589367157.6924
MEM 45.761719 1589367157.7987
MEM 45.761719 1589367157.9088
MEM 45.761719 1589367158.0153
MEM 45.789062 1589367158.1263
MEM 50.574219 1589367158.2395
MEM 56.332031 1589367158.3497
MEM 58.101562 1589367158.4611
MEM 83.390625 1589367158.5685
MEM 90.628906 1589367158.6779
MEM 93.425781 1589367158.7885
MEM 100.101562 1589367158.8963
MEM 105.632812 1589367159.0075
MEM 111.785156 1589367159.1187
MEM 121.105469 1589367159.2321
MEM 204.101562 1589367159.3469
MEM 207.066406 1589367159.4615
MEM 209.421875 1589367159.5732
MEM 211.671875 1589367159.6871
MEM 212.109375 1589367159.8016
MEM 212.570312 1589367159.9157
MEM 213.101562 1589367160.0314
MEM 213.484375 1589367160.1445
MEM 214.960938 1589367160.2568
MEM 216.031250 1589367160.3719
MEM 217.183594 1589367160.4836
MEM 217.980469 1589367160.5988
MEM 218.320312 1589367160.7155
MEM 218.710938 1589367160.8271
MEM 219.074219 1589367160.9394
MEM 219.750000 1589367161.0522
MEM 219.890625 1589367161.1668
MEM 219.964844 1589367161.2820
MEM 220.031250 1589367161.3952
MEM 220.425781 1589367161.5092
MEM 220.902344 1589367161.6218
MEM 220.917969 1589367161.7344
MEM 221.000000 1589367161.8507
MEM 221.519531 1589367161.9679
MEM 221.679688 1589367162.0844
MEM 221.882812 1589367162.1971
MEM 221.941406 1589367162.3133
MEM 222.179688 1589367162.4258
MEM 222.281250 1589367162.5394
MEM 222.351562 1589367162.6534
MEM 222.734375 1589367162.7682
MEM 223.246094 1589367162.8822
MEM 223.207031 1589367162.9954
MEM 223.234375 1589367163.1071
MEM 224.195312 1589367163.2246
MEM 224.195312 1589367163.3383
MEM 224.195312 1589367163.4547
MEM 224.234375 1589367163.5680
MEM 224.593750 1589367163.6848
MEM 224.714844 1589367163.7982
MEM 224.730469 1589367163.9101
MEM 224.863281 1589367164.0248
MEM 224.863281 1589367164.1386
MEM 224.867188 1589367164.2545
MEM 224.886719 1589367164.3675
MEM 224.902344 1589367164.4848
MEM 225.046875 1589367164.5990
MEM 225.046875 1589367164.7138
MEM 225.082031 1589367164.8263
MEM 225.839844 1589367164.9391
MEM 225.890625 1589367165.0541
MEM 225.894531 1589367165.1714
MEM 226.136719 1589367165.2852
MEM 226.203125 1589367165.4015
MEM 225.972656 1589367165.5161
MEM 226.023438 1589367165.6279
MEM 225.988281 1589367165.7423
MEM 226.035156 1589367165.8561
MEM 226.046875 1589367165.9675
MEM 226.070312 1589367166.0794
MEM 226.699219 1589367166.1963
MEM 226.656250 1589367166.3126
MEM 227.644531 1589367166.4252
MEM 227.644531 1589367166.5385
MEM 227.726562 1589367166.6524
MEM 227.773438 1589367166.7661
MEM 227.957031 1589367166.8811
MEM 228.210938 1589367166.9937
MEM 228.257812 1589367167.1050
MEM 228.281250 1589367167.2200
MEM 228.421875 1589367167.3365
MEM 228.738281 1589367167.4524
MEM 228.925781 1589367167.5698
MEM 228.957031 1589367167.6877
MEM 229.000000 1589367167.8026
MEM 229.000000 1589367167.9194
MEM 229.000000 1589367168.0316
MEM 229.082031 1589367168.1440
MEM 229.089844 1589367168.2553
MEM 229.089844 1589367168.3689
MEM 229.218750 1589367168.4829
MEM 230.007812 1589367168.5958
MEM 229.562500 1589367168.7078
MEM 229.921875 1589367168.8205
MEM 230.339844 1589367168.9336
MEM 230.523438 1589367169.0478
MEM 230.687500 1589367169.1630
MEM 230.855469 1589367169.2785
MEM 230.878906 1589367169.3914
MEM 231.101562 1589367169.5083
MEM 231.566406 1589367169.6214
MEM 232.425781 1589367169.7350
MEM 232.257812 1589367169.8495
MEM 232.312500 1589367169.9641
MEM 232.171875 1589367170.0782
MEM 232.964844 1589367170.1918
MEM 233.121094 1589367170.3080
MEM 234.214844 1589367170.4196
MEM 234.562500 1589367170.5327
MEM 234.355469 1589367170.6495
MEM 234.242188 1589367170.7629
